latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitch,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distanceinterval
44.053031,-69.515627,61.0,0,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.057737,-69.515627,61.0,0,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.057737,-69.514986,61.0,180,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.053031,-69.514986,61.0,180,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.053031,-69.514345,61.0,0,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.057737,-69.514345,61.0,0,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.057737,-69.513705,61.0,180,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.053031,-69.513705,61.0,180,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.053031,-69.513064,61.0,0,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.057737,-69.513064,61.0,0,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.057737,-69.512423,61.0,180,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.053031,-69.512423,61.0,180,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.053031,-69.511782,61.0,0,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.057737,-69.511782,61.0,0,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.057737,-69.511141,61.0,180,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.053031,-69.511141,61.0,180,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.053031,-69.510500,61.0,0,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.057737,-69.510500,61.0,0,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.057737,-69.509860,61.0,180,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.053031,-69.509860,61.0,180,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.053031,-69.509219,61.0,0,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.057737,-69.509219,61.0,0,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.057737,-69.508578,61.0,180,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
44.053031,-69.508578,61.0,180,0,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.5,0.000000,0.000000,0.0,0,0.0,0.0
