latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitch,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distanceinterval
44.053031,-69.515627,53.3,45,0,0,2,-45,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.0,0.000000,0.000000,0.0,0,0.0,0.0
44.057737,-69.515627,53.3,135,0,0,2,-45,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.0,0.000000,0.000000,0.0,0,0.0,0.0
44.057737,-69.508578,53.3,225,0,0,2,-45,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.0,0.000000,0.000000,0.0,0,0.0,0.0
44.053031,-69.508578,53.3,315,0,0,2,-45,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.0,0.000000,0.000000,0.0,0,0.0,0.0
44.053031,-69.515627,53.3,45,0,0,2,-45,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.0,0.000000,0.000000,0.0,0,0.0,0.0
44.053031,-69.515627,53.3,90,0,0,2,-45,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.0,0.000000,0.000000,0.0,0,0.0,0.0
44.053031,-69.508578,53.3,90,0,0,2,-45,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.0,0.000000,0.000000,0.0,0,0.0,0.0
44.053554,-69.508578,53.3,270,0,0,2,-45,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.0,0.000000,0.000000,0.0,0,0.0,0.0
44.053554,-69.515627,53.3,270,0,0,2,-45,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.0,0.000000,0.000000,0.0,0,0.0,0.0
44.054077,-69.515627,53.3,90,0,0,2,-45,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,4.0,0.000000,0.000000,0.0,0,0.0,0.0
